iter	Passed	Remaining
0	57	57566
1	58	28957
2	58	19456
3	59	14701
4	59	11810
5	59	9873
6	59	8496
7	60	7453
8	60	6642
9	60	5994
10	60	5466
11	61	5023
12	61	4648
13	61	4330
14	61	4052
15	61	3809
16	62	3595
17	62	3406
18	62	3236
19	62	3082
20	63	2942
21	63	2815
22	63	2699
23	63	2592
24	63	2495
25	64	2405
26	64	2322
27	64	2244
28	64	2176
29	65	2110
30	65	2046
31	65	1987
32	65	1931
33	66	1878
34	66	1829
35	66	1782
36	66	1738
37	67	1698
38	67	1660
39	67	1623
40	67	1587
41	68	1552
42	68	1519
43	68	1488
44	68	1458
45	68	1430
46	69	1402
47	69	1376
48	69	1351
49	69	1327
50	70	1303
51	70	1281
52	70	1259
53	70	1239
54	70	1219
55	71	1199
56	71	1181
57	71	1164
58	72	1153
59	72	1138
60	73	1124
61	73	1108
62	73	1094
63	73	1080
64	74	1065
65	74	1051
66	74	1037
67	74	1024
68	74	1011
69	75	999
70	75	986
71	75	977
72	76	966
73	76	955
74	76	945
75	76	935
76	77	925
77	77	915
78	77	906
79	77	896
80	78	888
81	78	879
82	78	868
83	78	859
84	79	850
85	79	842
86	79	835
87	79	827
88	80	819
89	80	811
90	80	804
91	80	796
92	80	789
93	81	781
94	81	774
95	81	768
96	81	761
97	82	755
98	82	750
99	82	744
100	82	738
101	83	732
102	83	726
103	83	721
104	84	717
105	84	712
106	84	708
107	85	704
108	85	699
109	85	694
110	86	688
111	86	683
112	86	678
113	86	673
114	86	668
115	87	665
116	87	660
117	87	655
118	88	651
119	88	648
120	88	645
121	89	641
122	89	638
123	89	633
124	89	629
125	90	625
126	90	620
127	90	616
128	90	612
129	91	609
130	91	605
131	91	601
132	91	597
133	91	593
134	92	590
135	92	586
136	92	582
137	92	579
138	92	575
139	93	572
140	93	568
141	93	564
142	93	561
143	93	558
144	94	555
145	94	552
146	94	549
147	94	545
148	95	542
149	95	539
150	95	537
151	95	534
152	95	531
153	96	528
154	96	525
155	96	523
156	97	521
157	97	518
158	97	515
159	97	513
160	97	510
161	98	507
162	98	505
163	98	502
164	98	500
165	99	498
166	99	496
167	99	493
168	99	491
169	100	488
170	100	486
171	100	485
172	101	483
173	101	481
174	101	479
175	101	477
176	102	474
177	102	474
178	103	472
179	103	470
180	103	469
181	104	467
182	104	466
183	104	464
184	105	462
185	105	460
186	105	458
187	105	456
188	105	454
189	106	452
190	106	450
191	106	448
192	106	447
193	107	445
194	107	443
195	107	441
196	107	439
197	108	437
198	108	435
199	108	433
200	108	431
201	108	430
202	109	428
203	109	426
204	109	424
205	109	422
206	109	421
207	110	419
208	110	417
209	110	416
210	110	414
211	111	412
212	111	411
213	111	409
214	111	408
215	112	406
216	112	405
217	112	403
218	112	402
219	112	400
220	113	398
221	113	398
222	113	396
223	114	395
224	114	393
225	114	392
226	114	390
227	115	389
228	115	388
229	115	386
230	115	385
231	115	383
232	116	382
233	116	380
234	116	379
235	116	377
236	116	376
237	117	375
238	117	374
239	117	372
240	118	372
241	118	371
242	119	370
243	119	369
244	119	368
245	119	367
246	120	366
247	120	364
248	120	363
249	120	362
250	121	361
251	121	359
252	121	358
253	121	357
254	121	356
255	122	354
256	122	353
257	122	352
258	122	351
259	123	350
260	123	349
261	123	348
262	123	347
263	124	345
264	124	344
265	124	343
266	124	342
267	124	341
268	125	340
269	125	338
270	125	337
271	125	336
272	125	335
273	126	334
274	126	333
275	126	332
276	126	331
277	127	330
278	127	329
279	127	328
280	127	327
281	128	326
282	128	325
283	128	324
284	128	323
285	129	322
286	129	321
287	129	320
288	129	319
289	129	318
290	130	317
291	130	316
292	130	315
293	130	314
294	131	313
295	131	312
296	131	311
297	131	310
298	132	309
299	132	308
300	132	307
301	132	306
302	133	306
303	133	305
304	133	304
305	134	304
306	134	303
307	134	302
308	135	302
309	135	301
310	135	300
311	135	299
312	136	298
313	136	297
314	136	297
315	136	296
316	137	295
317	137	294
318	137	293
319	137	292
320	137	291
321	138	291
322	138	290
323	138	289
324	139	288
325	139	287
326	139	287
327	139	286
328	139	285
329	140	284
330	140	283
331	140	282
332	140	281
333	140	281
334	141	280
335	141	279
336	141	278
337	142	278
338	142	277
339	142	276
340	142	275
341	142	275
342	143	274
343	143	273
344	143	272
345	143	272
346	144	271
347	144	270
348	144	269
349	144	269
350	145	268
351	145	267
352	145	266
353	145	266
354	146	265
355	146	264
356	146	263
357	146	263
358	147	262
359	147	261
360	147	261
361	147	260
362	147	259
363	148	258
364	148	258
365	148	257
366	148	256
367	148	255
368	149	256
369	150	255
370	150	255
371	151	254
372	151	254
373	151	253
374	151	252
